customer_id,age,location,signup_date,subscription_type,last_payment_date,payment_delay_days,failed_payments_count,avg_weekly_usage_hours,days_since_last_login,courses_completed,tickets_raised,last_ticket_days
87,53,Denver,263,Monthly,246,13,0,17.3,175,10,4,343.0
88,46,Barbaratown,82,Monthly,36,13,4,9.64,53,1,2,49.0
89,58,Chicago,366,Yearly,92,0,0,5.24,12,7,2,15.0
90,22,Chicago,15,Yearly,1,14,0,6.96,15,3,5,189.0
91,33,New York,320,Monthly,212,7,0,8.58,317,7,5,228.0
92,51,New York,677,Monthly,6,12,3,4.31,329,5,1,91.0
93,20,Austin,27,Monthly,6,15,3,9.95,22,1,1,333.0
94,38,New York,635,Monthly,164,11,3,12.61,54,1,5,101.0
95,54,Chicago,643,Yearly,389,1,0,11.93,387,4,4,172.0
96,34,New York,646,Monthly,292,7,4,19.33,307,7,1,246.0
97,23,Seattle,409,Yearly,261,10,2,10.27,206,2,3,34.0
98,33,New York,529,Monthly,266,14,0,19.73,421,3,0,
99,49,Seattle,587,Monthly,228,10,4,6.81,555,6,4,50.0
100,39,Los Angeles,63,Monthly,53,12,0,1.89,55,3,4,87.0
101,46,Chicago,11,Monthly,8,12,4,7.24,10,0,5,361.0
102,18,Chicago,236,Monthly,122,4,4,7.86,146,9,2,307.0
103,56,Chicago,580,Yearly,3,2,3,6.84,239,1,1,290.0
104,36,Los Angeles,695,Yearly,403,9,1,3.27,281,4,5,35.0
105,49,Los Angeles,370,Yearly,72,11,0,3.99,36,3,1,352.0
106,41,Chicago,531,Monthly,222,8,2,12.58,265,6,2,165.0
107,35,Lake Troyfurt,277,Yearly,269,2,1,17.6,265,4,0,
108,20,Martinside,360,Monthly,281,14,0,15.55,336,5,1,79.0
109,31,New York,641,Monthly,458,8,1,5.11,61,10,1,79.0
110,24,Duncanview,314,Yearly,244,0,1,11.55,185,0,5,253.0
111,48,New York,273,Yearly,16,5,2,5.73,96,5,3,46.0
112,49,Seattle,625,Yearly,17,12,3,19.55,422,4,4,222.0
113,20,Denver,266,Monthly,101,4,1,2.43,11,1,3,273.0
114,39,Port Renee,698,Monthly,518,14,1,15.75,411,9,3,184.0
115,43,Los Angeles,548,Yearly,34,3,1,4.16,363,7,5,266.0
116,23,Chicago,44,Yearly,16,10,3,0.06,15,4,3,254.0
117,46,New York,79,Yearly,70,11,4,5.6,23,1,2,106.0
118,57,New York,707,Yearly,177,13,1,19.01,95,4,2,315.0
119,56,Chicago,495,Monthly,296,11,2,8.34,414,5,2,74.0
120,30,New York,600,Yearly,519,6,0,10.82,17,2,0,
121,43,Los Angeles,728,Monthly,598,10,0,3.35,11,9,4,69.0
122,49,Los Angeles,44,Yearly,31,5,1,9.0,6,6,2,340.0
123,21,Los Angeles,664,Yearly,293,4,2,11.13,446,9,5,68.0
124,31,Chicago,266,Monthly,25,7,0,8.08,126,3,5,179.0
125,36,New York,294,Yearly,143,15,0,3.46,4,9,5,206.0
126,29,Chicago,18,Yearly,9,0,0,12.54,15,4,2,54.0
127,42,Los Angeles,654,Monthly,465,13,2,17.03,271,7,1,344.0
128,48,Los Angeles,616,Monthly,415,10,1,11.46,372,5,4,331.0
129,24,New York,152,Monthly,91,4,0,5.86,131,6,5,58.0
130,23,New York,306,Monthly,30,9,0,6.1,108,8,3,251.0
131,53,Chicago,213,Monthly,140,12,0,11.1,59,0,5,34.0
132,27,Los Angeles,603,Yearly,2,15,1,15.95,336,4,3,249.0
133,20,Lake Peterborough,550,Yearly,236,3,3,17.13,326,6,4,53.0
134,19,Los Angeles,504,Monthly,122,2,3,6.76,363,10,4,278.0
135,29,New York,272,Monthly,103,15,3,4.32,117,3,4,61.0
136,22,New York,519,Monthly,315,13,1,5.81,157,2,3,122.0
137,28,Chicago,51,Yearly,44,11,0,5.03,2,4,3,320.0
138,58,Chicago,672,Yearly,284,6,4,8.74,38,2,1,321.0
139,22,Los Angeles,206,Yearly,88,6,4,16.99,189,0,5,85.0
140,31,New York,476,Monthly,225,14,2,7.39,272,8,5,68.0
141,53,Los Angeles,330,Monthly,321,10,0,13.55,31,3,1,318.0
142,31,Chicago,257,Monthly,246,6,2,18.7,114,2,1,145.0
143,25,Los Angeles,235,Monthly,180,3,2,15.7,61,2,1,226.0
144,41,Seattle,608,Monthly,321,11,1,12.78,314,3,2,78.0
145,27,Seattle,382,Yearly,322,1,1,14.95,125,3,2,254.0
146,18,Chicago,728,Yearly,359,12,1,6.95,153,0,1,251.0
147,45,New York,125,Monthly,68,13,4,7.67,41,10,0,
148,18,New York,29,Yearly,9,0,1,2.44,14,7,0,
149,56,New York,85,Monthly,60,3,0,10.52,12,4,0,
150,46,New York,586,Yearly,142,12,1,1.93,496,7,1,171.0
151,25,Seattle,66,Yearly,12,3,2,10.11,41,8,3,285.0
152,51,Denver,38,Monthly,3,2,1,15.71,8,5,3,128.0
153,28,New York,24,Monthly,24,4,2,18.2,6,8,4,301.0
154,55,Los Angeles,494,Monthly,128,6,4,13.22,326,5,4,3.0
155,38,Los Angeles,483,Yearly,373,10,3,0.05,358,3,1,184.0
156,52,New York,584,Monthly,94,5,4,16.68,448,6,4,52.0
157,40,Codyland,200,Monthly,19,15,0,14.19,182,7,0,
158,20,New York,116,Monthly,38,3,3,19.76,55,6,5,84.0
159,20,Los Angeles,678,Monthly,484,14,4,10.0,661,7,1,204.0
160,43,Austin,416,Monthly,407,12,2,1.18,415,3,5,12.0
161,42,Chicago,459,Yearly,213,4,1,13.49,351,10,3,188.0
162,56,Seattle,596,Monthly,473,6,0,19.68,94,8,1,37.0
163,54,Mitchellburgh,38,Yearly,6,15,1,17.35,27,6,2,93.0
164,31,New York,77,Monthly,42,0,1,1.46,28,10,5,19.0
165,27,Chicago,681,Monthly,279,2,2,11.59,48,8,0,
166,21,Seattle,326,Monthly,302,0,3,1.94,244,6,0,
167,28,Chicago,110,Yearly,108,9,4,18.59,28,4,3,332.0
168,57,Los Angeles,592,Monthly,298,15,3,16.53,441,4,5,19.0
169,53,Austin,20,Monthly,5,10,0,3.33,3,10,2,54.0
170,49,Los Angeles,600,Yearly,296,5,0,8.95,581,9,0,
171,59,Denver,124,Monthly,106,3,3,19.16,79,2,5,167.0
172,41,Chicago,536,Yearly,472,14,1,15.52,195,5,3,151.0
173,23,New York,656,Monthly,245,15,2,13.27,567,10,1,22.0
174,57,New York,102,Yearly,102,7,3,15.49,67,0,2,365.0
175,60,New York,327,Yearly,71,12,0,19.78,35,8,1,170.0
176,30,Chicago,358,Monthly,242,13,2,4.2,114,4,5,237.0
177,37,Los Angeles,688,Yearly,173,2,4,6.38,446,10,3,311.0
178,23,New York,731,Yearly,70,10,4,3.63,381,7,4,55.0
179,43,Los Angeles,546,Yearly,515,5,4,6.92,407,1,2,72.0
180,47,Chicago,443,Monthly,54,1,0,2.3,40,1,1,237.0
181,22,Los Angeles,637,Yearly,182,10,4,16.97,606,3,0,
182,22,Los Angeles,381,Monthly,199,13,4,13.07,31,7,0,
183,26,Los Angeles,720,Yearly,154,11,2,0.05,393,5,3,151.0
184,49,Los Angeles,126,Yearly,15,4,1,8.78,78,10,0,
185,30,Los Angeles,453,Monthly,171,7,4,17.91,388,9,1,199.0
186,21,Austin,7,Monthly,2,11,4,15.41,3,9,0,
187,46,Los Angeles,467,Monthly,343,12,1,13.35,138,3,5,288.0
188,50,Chicago,704,Monthly,667,0,4,1.39,522,3,5,129.0
189,33,Los Angeles,297,Monthly,265,8,1,15.13,128,8,0,
190,53,Seattle,456,Monthly,299,9,2,15.67,40,1,2,61.0
191,29,Chicago,580,Yearly,89,9,1,4.93,560,8,2,196.0
192,44,Chicago,299,Yearly,296,5,4,6.32,16,6,1,230.0
193,56,Los Angeles,30,Yearly,30,10,1,13.04,28,2,1,287.0
194,51,Chicago,416,Yearly,96,0,2,5.64,40,2,3,100.0
195,49,New York,56,Monthly,46,10,3,2.95,53,3,4,89.0
196,56,New York,714,Monthly,11,4,3,15.61,250,4,0,
197,51,Chicago,470,Yearly,405,13,0,15.3,417,9,4,128.0
198,58,Chicago,272,Monthly,219,2,1,9.25,38,2,4,248.0
199,58,Los Angeles,323,Yearly,119,5,1,8.49,295,0,5,6.0
200,28,Denver,512,Monthly,87,15,4,19.26,443,8,2,269.0
201,44,Los Angeles,47,Yearly,32,11,2,6.49,38,3,5,229.0
202,26,Chicago,19,Monthly,19,1,1,19.25,8,7,4,315.0
203,30,Chicago,726,Yearly,454,15,2,10.08,91,9,0,
204,47,New York,397,Yearly,363,6,3,0.69,10,4,0,
205,35,New York,102,Monthly,59,0,1,1.37,31,3,4,187.0
206,59,Los Angeles,512,Yearly,428,9,3,1.49,77,3,0,
207,55,Chicago,653,Monthly,412,15,4,16.92,197,10,2,119.0
208,19,Chicago,728,Yearly,61,4,1,10.5,331,8,5,235.0
209,23,Chicago,262,Monthly,152,7,4,12.54,198,6,1,301.0
210,45,Heidifurt,509,Monthly,94,12,4,2.78,207,6,5,139.0
211,42,South Kendra,439,Yearly,326,9,1,4.71,66,2,5,196.0
212,53,Los Angeles,351,Yearly,80,7,0,7.39,316,1,5,204.0
213,53,New York,521,Monthly,111,3,1,9.1,513,4,1,148.0
214,37,New York,261,Yearly,132,7,4,9.91,216,4,0,
215,28,New York,687,Yearly,244,7,1,8.43,645,3,2,365.0
216,22,Seattle,43,Yearly,22,9,1,8.24,12,8,3,28.0
217,53,Los Angeles,656,Yearly,426,13,2,15.05,609,9,5,326.0
218,39,Los Angeles,197,Yearly,8,6,3,6.15,113,3,4,5.0
219,31,Austin,404,Yearly,113,5,3,14.27,291,8,1,49.0
220,37,New York,593,Yearly,442,6,4,4.09,11,0,2,16.0
221,46,Los Angeles,345,Yearly,159,14,0,16.28,317,8,5,255.0
222,22,Seattle,254,Monthly,246,5,4,13.49,230,8,0,
223,26,West Megan,361,Monthly,211,3,4,12.63,333,5,0,
224,35,Los Angeles,216,Yearly,34,6,4,5.09,44,7,4,14.0
225,32,New York,706,Monthly,11,5,3,0.92,128,0,3,348.0
226,28,New York,195,Yearly,31,9,1,0.81,25,8,5,325.0
227,28,Port Kimberlyberg,429,Yearly,155,4,1,14.3,247,3,5,303.0
228,36,Chicago,430,Yearly,392,3,0,12.07,148,0,3,30.0
229,38,Denver,658,Yearly,556,2,0,3.19,644,8,3,116.0
230,52,Royland,684,Yearly,283,13,3,12.87,458,7,0,
231,50,New York,719,Monthly,522,2,4,13.14,594,1,5,39.0
232,54,New York,506,Monthly,246,15,0,19.03,187,2,5,81.0
233,34,East James,88,Monthly,65,3,3,8.07,56,2,5,68.0
234,42,Nancyville,221,Monthly,7,4,0,13.7,71,7,0,
235,43,Los Angeles,368,Yearly,91,10,2,12.54,258,0,5,43.0
236,52,New York,451,Monthly,247,2,3,7.79,230,9,0,
237,53,Los Angeles,704,Yearly,692,10,4,14.9,157,8,0,
238,58,Chicago,582,Monthly,579,11,4,12.1,560,8,1,149.0
239,50,Chicago,532,Monthly,209,3,3,17.18,388,1,4,214.0
240,19,Los Angeles,296,Yearly,184,10,3,16.6,152,4,4,124.0
241,30,Los Angeles,196,Monthly,49,13,4,16.16,76,6,0,
242,36,Destinyport,86,Yearly,26,8,0,19.58,63,8,3,33.0
243,19,Levyburgh,675,Monthly,12,12,2,17.02,641,3,5,326.0
244,56,Los Angeles,252,Monthly,232,11,1,15.86,122,8,2,224.0
245,43,Los Angeles,606,Monthly,243,15,2,4.5,521,6,1,339.0
246,26,Los Angeles,515,Yearly,81,6,0,9.97,217,1,2,343.0
247,49,New York,303,Yearly,13,5,4,18.32,143,8,1,180.0
248,55,Mcdonaldview,635,Yearly,415,10,0,17.62,297,4,1,6.0
249,54,Chicago,713,Yearly,571,11,4,16.74,521,6,3,100.0
250,22,Chicago,276,Yearly,83,3,1,17.47,264,9,3,179.0
251,50,Chicago,47,Monthly,10,12,4,14.74,34,8,0,
252,59,Los Angeles,419,Monthly,370,11,0,10.98,7,10,2,43.0
253,40,Los Angeles,714,Monthly,477,3,2,3.86,123,10,1,291.0
254,52,Los Angeles,219,Yearly,115,6,1,16.82,62,10,0,
255,33,Chicago,402,Monthly,37,5,4,5.08,355,1,4,363.0
256,45,Los Angeles,593,Monthly,554,12,0,16.1,444,1,2,213.0
257,48,North Paul,646,Monthly,624,4,2,11.48,11,5,3,22.0
258,52,Denver,628,Monthly,16,7,2,6.49,270,10,1,211.0
259,32,New York,56,Yearly,16,8,2,3.34,22,4,3,69.0
260,55,Los Angeles,640,Monthly,223,11,3,18.06,384,10,3,175.0
261,30,Los Angeles,203,Yearly,49,4,0,15.12,48,0,1,154.0
262,44,New York,97,Monthly,37,15,0,14.0,61,3,4,2.0
263,43,Elizabethview,430,Yearly,39,3,3,3.38,52,7,1,229.0
264,56,New York,331,Yearly,274,8,4,3.66,232,1,2,38.0
265,26,Rileyberg,268,Monthly,136,14,3,4.66,33,9,4,18.0
266,49,Chicago,394,Monthly,128,14,4,17.68,229,6,5,223.0
267,46,New York,326,Yearly,315,5,1,15.69,134,0,4,33.0
268,30,Los Angeles,451,Yearly,446,5,0,9.49,137,9,3,175.0
269,42,New York,556,Yearly,359,10,0,6.45,271,10,3,71.0
270,54,Austin,340,Monthly,11,5,3,6.45,315,6,4,53.0
271,39,South Lindaview,494,Monthly,221,7,1,18.12,70,3,4,222.0
272,52,Chicago,699,Yearly,45,15,3,11.19,5,6,1,361.0
273,49,Austin,660,Yearly,498,9,1,3.66,402,1,3,184.0
274,19,Los Angeles,68,Yearly,25,0,2,8.77,13,1,3,96.0
275,33,Los Angeles,619,Yearly,97,3,1,10.54,244,8,1,37.0
276,52,Chicago,285,Monthly,43,2,4,10.31,282,3,0,
277,48,Los Angeles,117,Yearly,64,13,4,9.17,88,9,2,279.0
278,30,Denver,46,Monthly,22,5,4,10.29,11,8,1,46.0
279,41,Los Angeles,92,Yearly,67,15,3,6.15,39,9,4,174.0
280,24,Chicago,87,Yearly,28,8,3,19.01,62,9,4,27.0
281,36,New Judy,443,Yearly,218,8,3,13.68,127,8,4,312.0
282,46,Seattle,437,Monthly,168,10,1,0.54,146,0,5,71.0
283,52,New York,627,Yearly,277,12,2,11.38,377,3,1,108.0
284,32,Austin,501,Monthly,260,12,0,12.59,483,6,2,129.0
285,49,New York,381,Monthly,325,12,1,4.51,109,6,2,198.0
286,52,Chicago,335,Monthly,277,12,1,4.77,295,0,5,297.0
287,44,New York,111,Monthly,58,9,2,9.12,102,0,0,
288,23,New York,33,Monthly,9,8,4,11.26,23,3,4,214.0
289,31,Austin,712,Monthly,483,4,4,1.95,559,1,5,51.0
290,60,Chicago,39,Yearly,34,15,0,18.12,33,3,1,200.0
291,58,Chicago,145,Monthly,42,13,3,12.51,28,2,2,6.0
292,19,Christopherburgh,548,Yearly,251,6,4,11.13,193,9,4,2.0
293,37,Rogersborough,117,Monthly,103,0,3,11.24,89,10,2,315.0
294,43,Chicago,140,Yearly,82,1,0,0.59,94,4,0,
295,30,Chicago,84,Yearly,57,5,1,7.98,79,5,3,36.0
296,23,Los Angeles,706,Monthly,238,3,1,14.78,569,7,1,342.0
297,25,Los Angeles,602,Yearly,214,6,2,18.18,377,3,5,216.0
298,24,Crystalchester,144,Monthly,118,7,1,1.37,120,4,3,39.0
299,34,Chicago,139,Yearly,12,12,2,13.61,124,9,5,1.0
300,56,Los Angeles,372,Yearly,58,9,2,0.15,17,6,0,
301,22,Chicago,398,Monthly,91,4,1,6.94,299,8,5,101.0
302,18,Austin,497,Yearly,490,13,4,19.92,292,2,2,260.0
303,59,New York,337,Monthly,213,4,4,0.41,114,6,2,190.0
304,33,Los Angeles,335,Monthly,300,9,3,6.12,325,0,3,47.0
305,37,Chicago,487,Monthly,447,13,4,12.93,444,10,1,300.0
306,39,Los Angeles,371,Yearly,39,7,4,9.09,152,10,2,233.0
307,53,Los Angeles,672,Monthly,44,6,2,4.79,378,4,0,
308,22,East Alexisport,239,Yearly,62,4,1,18.38,18,5,0,
309,42,New York,495,Monthly,225,1,2,15.05,334,1,4,335.0
310,43,Los Angeles,258,Monthly,69,9,1,18.63,182,0,5,158.0
311,49,Austin,219,Monthly,119,9,1,7.07,12,3,0,
312,27,Denver,504,Yearly,30,10,1,11.44,158,3,3,308.0
313,52,New York,457,Monthly,143,1,0,0.56,202,5,0,
314,57,New York,574,Monthly,245,10,2,3.6,189,4,3,65.0
315,32,New York,603,Yearly,282,11,1,11.57,342,5,3,81.0
316,38,Austin,76,Yearly,51,10,4,0.59,39,10,5,106.0
317,39,Los Angeles,196,Yearly,86,8,3,8.01,127,8,0,
318,45,Denver,222,Monthly,25,14,4,13.77,4,2,1,41.0
319,22,Los Angeles,719,Yearly,154,14,3,18.59,477,0,3,313.0
320,20,Chicago,185,Monthly,118,3,1,12.4,129,4,4,168.0
321,60,Seattle,589,Yearly,369,5,2,3.14,37,8,5,258.0
322,57,New York,609,Yearly,352,9,3,5.32,571,6,4,16.0
323,36,Chicago,616,Monthly,545,13,2,17.62,102,1,3,4.0
324,49,Seattle,32,Monthly,11,3,0,2.08,16,9,0,
325,28,Denver,382,Monthly,149,5,2,14.26,162,3,4,316.0
326,31,Chicago,714,Monthly,635,7,4,6.48,328,5,4,331.0
327,44,Port Michellebury,693,Monthly,487,1,2,17.36,590,4,2,156.0
328,37,Lake Christian,330,Monthly,313,3,3,8.87,43,9,1,214.0
329,24,Los Angeles,571,Monthly,387,6,3,4.95,520,0,2,347.0
330,53,Chicago,38,Monthly,22,5,3,12.84,26,7,0,
331,36,Chicago,16,Monthly,7,2,2,7.55,8,2,0,
332,31,Denver,254,Yearly,18,9,1,14.36,229,6,4,143.0
333,32,New York,108,Monthly,13,13,1,5.82,46,4,1,55.0
334,40,Chicago,166,Monthly,137,12,2,15.99,88,8,0,
335,54,Austin,324,Monthly,125,9,3,0.01,206,5,3,362.0
336,60,Chicago,106,Yearly,68,3,3,10.28,78,3,3,352.0
337,48,Chicago,687,Monthly,650,6,0,4.97,189,1,1,27.0
338,41,New York,161,Monthly,107,3,1,1.03,24,8,3,83.0
339,33,Denver,496,Yearly,188,6,4,5.03,380,1,1,212.0
340,33,Marystad,185,Monthly,78,4,2,6.45,78,2,1,250.0
341,23,New York,207,Monthly,37,14,3,3.8,51,0,5,153.0
342,50,New York,548,Yearly,128,0,0,0.3,89,9,4,215.0
343,52,New York,595,Yearly,481,0,0,11.74,192,0,1,324.0
344,24,Susanport,76,Monthly,4,5,1,10.96,64,8,0,
345,56,New York,247,Yearly,208,6,4,16.77,154,9,5,85.0
346,49,Chicago,722,Yearly,6,7,2,14.06,323,8,1,331.0
347,33,New York,637,Yearly,502,3,2,15.81,190,4,1,303.0
348,40,Los Angeles,474,Monthly,418,0,0,13.31,22,8,5,96.0
349,38,New York,469,Yearly,238,9,3,11.45,126,3,1,273.0
350,38,Austin,109,Yearly,5,13,1,8.21,20,3,5,202.0
351,44,Los Angeles,207,Yearly,16,14,3,13.86,114,3,3,110.0
352,28,New York,140,Yearly,3,13,1,13.24,17,8,2,53.0
353,46,Los Angeles,487,Yearly,454,15,0,12.81,419,5,2,72.0
354,56,Chicago,498,Monthly,295,13,2,10.01,257,1,1,286.0
355,39,Austin,150,Monthly,98,4,4,2.66,86,1,4,59.0
356,29,New York,198,Monthly,11,3,4,16.96,171,1,2,195.0
357,46,Jacobview,438,Yearly,308,13,1,16.8,15,4,4,26.0
358,55,New York,493,Yearly,455,15,0,17.82,38,1,4,74.0
359,58,Chicago,190,Yearly,10,0,2,8.23,188,0,2,319.0
360,40,Austin,646,Monthly,348,9,0,16.4,136,4,5,324.0
361,41,Austin,547,Yearly,339,6,2,4.52,66,0,1,342.0
362,38,New York,122,Yearly,7,7,0,8.4,48,4,2,142.0
363,52,Los Angeles,587,Monthly,546,0,4,18.92,574,5,3,338.0
364,41,Los Angeles,706,Yearly,40,1,1,12.7,340,6,0,
365,43,Los Angeles,703,Yearly,232,3,2,1.35,567,0,1,189.0
366,60,New York,280,Monthly,111,6,3,6.16,179,0,1,32.0
367,30,Los Angeles,14,Yearly,8,2,2,3.27,12,6,3,163.0
368,38,Los Angeles,529,Monthly,430,12,0,0.35,489,5,0,
369,32,Los Angeles,81,Yearly,8,15,0,18.1,11,8,4,249.0
370,28,Chicago,29,Yearly,21,8,1,2.6,7,6,5,85.0
371,33,New York,9,Monthly,3,8,4,16.9,3,4,4,90.0
372,30,Los Angeles,575,Monthly,433,11,1,13.79,92,1,4,70.0
373,54,New York,674,Yearly,265,1,0,12.33,255,2,4,50.0
374,22,Los Angeles,102,Monthly,81,15,2,18.74,5,8,2,236.0
375,55,New York,155,Yearly,115,3,3,15.98,95,6,3,36.0
376,54,Chicago,77,Monthly,34,2,3,1.46,30,5,3,12.0
377,50,North Scotttown,543,Monthly,267,3,2,8.6,485,1,5,339.0
378,50,Los Angeles,127,Monthly,46,4,3,12.91,35,4,5,120.0
379,24,South Jefferyfurt,157,Monthly,75,4,2,11.99,65,5,0,
380,48,Chicago,365,Yearly,184,9,4,10.49,116,4,5,268.0
381,44,East Monicaport,228,Yearly,140,3,3,1.89,106,1,1,215.0
382,28,Ingramhaven,705,Yearly,621,13,3,9.07,28,4,2,353.0
383,41,Los Angeles,713,Yearly,114,8,0,4.67,414,5,1,219.0
384,50,Chicago,484,Monthly,435,11,1,5.49,186,5,2,243.0
385,19,New York,372,Monthly,369,9,4,6.36,191,6,5,49.0
386,59,East Garychester,62,Monthly,53,1,4,18.3,17,5,0,
387,28,New York,416,Monthly,125,9,4,14.7,404,0,0,
